name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Montech XR         (44),Montech,"XR-B, XR (B)",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"435 mm x 230 mm x 450 mm, 17.126"" x 9.055"" x 17.717""","45.023 L, 1.59 ft³"
Phanteks XT PRO         (9),Phanteks,PH-XT523P1-BK01,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x Internal 3.5""",7 x Full-Height,"450 mm x 230 mm x 500 mm, 17.717"" x 9.055"" x 19.685""","51.75 L, 1.828 ft³"
Corsair 4000D Airflow         (372),Corsair,CC-9011200-WW,ATX Mid Tower,Black,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 3.5"", 2 x Internal 2.5""","7 x Full-Height, 2 x Full-Height via Riser","453 mm x 230 mm x 466 mm, 17.835"" x 9.055"" x 18.346""","48.553 L, 1.715 ft³"
NZXT H9 Flow (2023)         (34),NZXT,CM-H91FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³"
Cooler Master MasterBox Q300L         (181),Cooler Master,MCB-Q300L-KANN-S00,MicroATX Mini Tower,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","360 mm / 14.173""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"387 mm x 230 mm x 378 mm, 15.236"" x 9.055"" x 14.882""","33.646 L, 1.188 ft³"
Corsair 3500X ARGB         (8),Corsair,CC-9011279-WW,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"460 mm x 240 mm x 506 mm, 18.11"" x 9.449"" x 19.921""","55.862 L, 1.973 ft³"
NZXT H5 Flow (2024)         (5),NZXT,CC-H52FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"430 mm x 225 mm x 465 mm, 16.929"" x 8.858"" x 18.307""","44.989 L, 1.589 ft³"
Corsair 3500X ARGB         (5),Corsair,CC-9011278-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"460 mm x 240 mm x 506 mm, 18.11"" x 9.449"" x 19.921""","55.862 L, 1.973 ft³"
NZXT H9 Flow (2023)         (47),NZXT,CM-H91FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³"
Lian Li Lancool 207         (19),Lian Li,"LAN207RX, PC-LAN207RX, LANCOOL 207 BLACK, G99.LAN207RX.00, LANCOOL 207RX",ATX Mid Tower,Blue,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","375 mm / 14.764""","2 x Internal 3.5""",7 x Full-Height,"455.6 mm x 219 mm x 456 mm, 17.937"" x 8.622"" x 17.953""","45.498 L, 1.607 ft³"
HYTE Y70 Touch Infinite         (4),HYTE,"CS-HYTE-Y70TI-WW, CS-HYTE-Y70TTI-WW",ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5""","7 x Half-Height, 4 x Full-Height via Riser","470 mm x 320 mm x 470 mm, 18.504"" x 12.598"" x 18.504""","70.688 L, 2.496 ft³"
Lian Li A3-mATX         (19),Lian Li,"A3-mATX-X, A3X.US, A3- mATX Black, PC-A3X, G99.A3X.00",MicroATX Mini Tower,Black,None,Mesh,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","415 mm / 16.339""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"443 mm x 194 mm x 306 mm, 17.441"" x 7.638"" x 12.047""","26.298 L, 0.929 ft³"
Fractal Design North         (64),Fractal Design,FD-C-NOR1C-02,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","300 mm / 11.811"" With Drive Cages, 355 mm / 13.976"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"447 mm x 215 mm x 469 mm, 17.598"" x 8.465"" x 18.465""","45.073 L, 1.592 ft³"
Montech AIR 903 MAX         (48),Montech,"AIR 903 MAX (B), AIR 903 MAX B, AIR 903 MAX BLACK",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"478 mm x 230 mm x 493 mm, 18.819"" x 9.055"" x 19.409""","54.2 L, 1.914 ft³"
Montech AIR 100 ARGB         (36),Montech,"AIR 100 ARGB Black, K005, AIR-100-ARGB-BK, K21004160003, AIR 100 ARGB (B)",MicroATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","330 mm / 12.992""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"405 mm x 210 mm x 425 mm, 15.945"" x 8.268"" x 16.732""","36.146 L, 1.276 ft³"
Fractal Design North XL         (12),Fractal Design,FD-C-NOR1X-02,ATX Full Tower,Black,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","380 mm / 14.961"" With Drive Cages, 413 mm / 16.26"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"503 mm x 240 mm x 509 mm, 19.803"" x 9.449"" x 20.039""","61.446 L, 2.17 ft³"
Lian Li O11 VISION COMPACT         (10),Lian Li,"O11VPW, O11 Vision Compact White, G99.O11VPW.00, PC-O11VPW",ATX Mid Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","408 mm / 16.063""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"447.5 mm x 287.5 mm x 446.4 mm, 17.618"" x 11.319"" x 17.575""","57.432 L, 2.028 ft³"
Montech XR         (9),Montech,"XR-W, XR (W), XR-WH, Montech_XR (W)",ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"435 mm x 230 mm x 450 mm, 17.126"" x 9.055"" x 17.717""","45.023 L, 1.59 ft³"
Lian Li O11 Vision         (17),Lian Li,"PC-O11VX, O11VX, G99.O11VX.00",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","455 mm / 17.913""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"480 mm x 304 mm x 464.5 mm, 18.898"" x 11.969"" x 18.287""","67.78 L, 2.394 ft³"
Lian Li A3-mATX         (15),Lian Li,"A3-mATX-WD BLACK, PC-A3X-WD",MicroATX Mini Tower,Black / Brown,None,Mesh,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","415 mm / 16.339""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"443 mm x 194 mm x 306 mm, 17.441"" x 7.638"" x 12.047""","26.298 L, 0.929 ft³"
Phanteks XT PRO ULTRA         (19),Phanteks,PH-XT523P1-DBK01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"450 mm x 230 mm x 500 mm, 17.717"" x 9.055"" x 19.685""","51.75 L, 1.828 ft³"
NZXT H6 Flow         (36),NZXT,CC-H61FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³"
HYTE Y70 Touch Infinite         (4),HYTE,"CS-HYTE-Y70TI-BB, CS-HYTE-Y70TTI-BB",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5""","7 x Half-Height, 4 x Full-Height via Riser","470 mm x 320 mm x 470 mm, 18.504"" x 12.598"" x 18.504""","70.688 L, 2.496 ft³"
Lian Li O11D EVO RGB         (18),Lian Li,"O11DERGBX, G99.O11DERGBX.00, O11DERGBX.US, PC-O11DERGBX",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","455.7 mm / 17.941""","4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"478 mm x 290 mm x 471 mm, 18.819"" x 11.417"" x 18.543""","65.29 L, 2.306 ft³"
Fractal Design Pop XL Air         (12),Fractal Design,FD-C-POR1X-06,ATX Full Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","455 mm / 17.913""","2 x External 5.25"", 3 x Internal 3.5"", 2 x Internal 2.5""",8 x Full-Height,"522 mm x 230 mm x 520 mm, 20.551"" x 9.055"" x 20.472""","62.431 L, 2.205 ft³"
Silverstone ALTA F2         (0),Silverstone,SST-ALF2B-G,ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB, XL ATX","604 mm / 23.78""","8 x Internal 3.5"", 3 x Internal 2.5""","9 x Full-Height, 4 x Full-Height via Riser","658 mm x 261 mm x 576 mm, 25.906"" x 10.276"" x 22.677""","98.921 L, 3.493 ft³"
Corsair 3000D AIRFLOW         (6),Corsair,CC-9011251-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"462 mm x 230 mm x 466 mm, 18.189"" x 9.055"" x 18.346""","49.517 L, 1.749 ft³"
Lian Li O11 VISION COMPACT         (8),Lian Li,"O11VPX, O11 Vision Compact Black, G99.O11VPX.00, PC-O11VPX",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","408 mm / 16.063""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"447.5 mm x 287.5 mm x 446.4 mm, 17.618"" x 11.319"" x 17.575""","57.432 L, 2.028 ft³"
NZXT H6 Flow         (35),NZXT,CC-H61FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³"
Antec C5 ARGB         (17),Antec,"0-761345-10033-5, C5 ARGB BLACK, C5 ARGB",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,,
Fractal Design Terra         (17),Fractal Design,FD-C-TER1N-01,Mini ITX Desktop,Black / Brown,None,Mesh,No,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A",Mini ITX,"322 mm / 12.677""","2 x Internal 2.5""",3 x Full-Height via Riser,"343 mm x 153 mm x 218 mm, 13.504"" x 6.024"" x 8.583""","11.44 L, 0.404 ft³"
Corsair FRAME 4000D         (4),Corsair,CC-9011290-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","405 mm / 15.945"" With Drive Cages, 430 mm / 16.929"" Without Drive Cages","2 x Internal 3.5""","7 x Full-Height, 3 x Full-Height via Riser","487 mm x 239 mm x 487 mm, 19.173"" x 9.409"" x 19.173""","56.683 L, 2.002 ft³"
Corsair FRAME 4000D RS ARGB         (5),Corsair,CC-9011296-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","405 mm / 15.945"" With Drive Cages, 430 mm / 16.929"" Without Drive Cages","2 x Internal 3.5""","7 x Full-Height, 3 x Full-Height via Riser","487 mm x 239 mm x 487 mm, 19.173"" x 9.409"" x 19.173""","56.683 L, 2.002 ft³"
HYTE Y70         (6),HYTE,CS-HYTE-Y70-WW,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5""","7 x Half-Height, 4 x Full-Height via Riser","470 mm x 320 mm x 470 mm, 18.504"" x 12.598"" x 18.504""","70.688 L, 2.496 ft³"
Cooler Master Elite 301         (3),Cooler Master,E301-KGNN-S00,MicroATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","365 mm / 14.37""","1 x Internal 3.5"", 1 x Internal 2.5""",4 x Full-Height,"390 mm x 203.5 mm x 430 mm, 15.354"" x 8.012"" x 16.929""","34.127 L, 1.205 ft³"
Lian Li LANCOOL 216 RGB         (52),Lian Li,"LANCOOL 216RX, G99.LAN216RX.00, PC-LAN216RX",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","392 mm / 15.433""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"480.9 mm x 235 mm x 491.7 mm, 18.933"" x 9.252"" x 19.358""","55.568 L, 1.962 ft³"
Lian Li O11 Dynamic EVO XL         (15),Lian Li,"O11DEXL-X, PC-O11DEXL-X, G99.O11DEXL-X.00",ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","460 mm / 18.11""","4 x Internal 3.5"", 3 x Internal 2.5""",8 x Full-Height,"522 mm x 304 mm x 531.9 mm, 20.551"" x 11.969"" x 20.941""","84.406 L, 2.981 ft³"
Fractal Design Meshify C         (301),Fractal Design,FD-CA-MESH-C-BKO-TG,ATX Mid Tower,Black,None,Tinted Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","315 mm / 12.402""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"413 mm x 217 mm x 453 mm, 16.26"" x 8.543"" x 17.835""","40.598 L, 1.434 ft³"
Cooler Master MasterBox NR200         (49),Cooler Master,MCB-NR200-KNNN-S00,Mini ITX Desktop,Black,None,None,No,USB 3.2 Gen 1 Type-A,"Mini ITX, Mini DTX","330 mm / 12.992""","2 x Internal 3.5"", 1 x Internal 2.5""",3 x Full-Height,"376 mm x 185 mm x 292 mm, 14.803"" x 7.283"" x 11.496""","20.312 L, 0.717 ft³"
Montech KING 95 PRO         (22),Montech,"KING 95 PRO (Black), KING 95 PRO (B), KING95PROB, KING 95 PRO BK",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","5 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"475 mm x 300 mm x 442 mm, 18.701"" x 11.811"" x 17.402""","62.985 L, 2.224 ft³"
Fractal Design Pop Air         (21),Fractal Design,FD-C-POA1A-02,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","405 mm / 15.945""","2 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"473.5 mm x 215 mm x 454 mm, 18.642"" x 8.465"" x 17.874""","46.218 L, 1.632 ft³"
Montech X3 Mesh         (14),Montech,"X3 Mesh Black, C004, X3 MESH BK, C21005160001, X3 MESH (B)",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","305 mm / 12.008""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
MUSETEX Y6         (1),MUSETEX,Y6-N5-W,ATX Mid Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 2 x Internal 2.5""",6 x Full-Height,"388.112 mm x 225.044 mm x 468.122 mm, 15.28"" x 8.86"" x 18.43""","40.887 L, 1.444 ft³"
HYTE Y70         (3),HYTE,CS-HYTE-Y70-B,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5""","7 x Half-Height, 4 x Full-Height via Riser","470 mm x 320 mm x 470 mm, 18.504"" x 12.598"" x 18.504""","70.688 L, 2.496 ft³"
Fractal Design North         (31),Fractal Design,FD-C-NOR1C-01,ATX Mid Tower,Black,None,Mesh,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","300 mm / 11.811"" With Drive Cages, 355 mm / 13.976"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"447 mm x 215 mm x 469 mm, 17.598"" x 8.465"" x 18.465""","45.073 L, 1.592 ft³"
Okinos Aqua 3         (5),Okinos,OKICC-AQUA3-MATXB-H3BA,MicroATX Mini Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","330 mm / 12.992""","2 x Internal 3.5"", 1 x Internal 2.5""",4 x Full-Height,"350 mm x 210 mm x 392 mm, 13.78"" x 8.268"" x 15.433""","28.812 L, 1.017 ft³"
Lian Li O11D EVO RGB         (10),Lian Li,"O11DERGBW, G99.O11DERGBW.00, PC-O11DERGBW",ATX Mid Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","455.7 mm / 17.941""","4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"478 mm x 290 mm x 471 mm, 18.819"" x 11.417"" x 18.543""","65.29 L, 2.306 ft³"
Corsair 3500X         (6),Corsair,CC-9011276-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"460 mm x 240 mm x 506 mm, 18.11"" x 9.449"" x 19.921""","55.862 L, 1.973 ft³"
Montech KING 65 PRO         (1),Montech,KING 65 PRO (B),ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","2 x Internal 3.5"", 5 x Internal 2.5""",7 x Full-Height,"475 mm x 300 mm x 442 mm, 18.701"" x 11.811"" x 17.402""","62.985 L, 2.224 ft³"
