name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
ARCTIC Liquid Freezer III 240 A-RGB         (12),ARCTIC,Liquid Freezer III 240 A-RGB,ACFRE00142A,200 - 2000 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 240 mm,No
Noctua NH-U12S chromax.black         (126),Noctua,,"NH-U12S chromax.black, NH-U12S CH.BK, NH-U12S-CH-BK",300 - 1500 RPM,18.6 - 22.4 dB,Black,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
ARCTIC Liquid Freezer III Pro A-RGB 360         (2),ARCTIC,Liquid Freezer III Pro A-RGB 360,ACFRE00188A,600 - 3000 RPM,,White,68 mm,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
ID-COOLING FROZN A620 PRO SE         (4),ID-COOLING,,FROZN A620 PRO SE,300 - 2000 RPM,27.2 dB,Black,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Lian Li Galahad II Trinity SL-INF         (18),Lian Li,,"GA2T36INW, G89.GA2T36INW.00",2100 RPM,29 dB,White,69 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
NZXT Kraken Elite 360 RGB (2024)         (8),NZXT,Kraken Elite 360 RGB (2024),RL-KR36E-W2,500 - 2400 RPM,30 dB,White,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
Deepcool AK620 ZERO DARK         (39),Deepcool,AK620 ZERO DARK,"R-AK620-BKNNMT-G-1, AK620 ZERO DARK",500 - 1850 RPM,28 dB,Black,160 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Noctua NH-L9A-AM5         (2),Noctua,,NH-L9A-AM5,600 - 2500 RPM,14.8 - 23.6 dB,Brown / Silver,37 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+",No,No
Thermalright Assassin Spirit 120 EVO         (14),Thermalright,Assassin Spirit 120 EVO,"AS120 EVO, Assassin Spirit 120 EVO",2000 RPM,28.2 dB,Black,156 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright AQUA ELITE ARGB V4         (4),Thermalright,,AQUA ELITE 360 ARGB V4,1550 RPM,25.6 dB,Black,48 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Cooler Master Hyper 212 Spectrum V3         (9),Cooler Master,Hyper 212 Spectrum V3,RR-S4NA-17PA-R1,650 - 1750 RPM,27.2 dB,Black / Silver,152 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
TRYX PANORAMA SE ARGB         (0),TRYX,,L-P360L-AM3M-G0K,500 - 1850 RPM,,Black,125 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
Noctua NH-U12A chromax.black         (57),Noctua,,"NH-U12A chromax.black, NH-U12A ch.bk",450 - 2000 RPM,18.8 - 22.6 dB,Black,158 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Thermalright Aqua Elite V3         (11),Thermalright,,Aqua Elite 360 White V3,1500 RPM,25.6 dB,White,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Thermalright Assassin X SE         (3),Thermalright,,"AX90SE V2, AX90SE V2 D6, Assassin-X-90-SE-V2",2200 RPM,23.85 dB,Black / Silver,118 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
NZXT Kraken 240 RGB         (8),NZXT,Kraken 240 RGB,RL-KR240-W1,500 - 1800 RPM,17.9 - 30.6 dB,White,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 240 mm,No
Thermalright Peerless Assassin 120 Black         (22),Thermalright,Peerless Assassin 120 Black,"PA120 Black, PA120 BLACK, PA120 Black D6-CAD, PA120 BLACK-D6, PA120 BLACK-D2",1550 RPM,25.6 dB,Black,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
be quiet! Pure Rock 2 Black         (47),be quiet!,Pure Rock 2 Black,BK007,1500 RPM,19.1 - 26.8 dB,Black,155 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
ID-COOLING SE-214-XT ARGB         (21),ID-COOLING,SE-214-XT ARGB,SE-214-XT ARGB WHITE,500 - 1500 RPM,13.8 - 30.5 dB,White,150 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
NZXT Kraken Elite 360 (2024)         (8),NZXT,Kraken Elite 360 (2024),RL-KN36E-B2,500 - 2000 RPM,30 dB,Black,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
Corsair iCUE LINK TITAN 360 RX LCD         (1),Corsair,iCUE LINK TITAN 360 RX LCD,CW-9061026-WW,300 - 2100 RPM,10 - 36 dB,White,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
Deepcool AK400         (34),Deepcool,AK400,R-AK400-BKNNMN-G-1,500 - 1850 RPM,29 dB,Black / Silver,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Noctua NH-D9L         (33),Noctua,,NH-D9L,400 - 2000 RPM,16.3 - 22.8 dB,,110 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Noctua NH-D15 G2         (4),Noctua,,NH-D15 G2,1500 RPM,24.8 dB,Brown / Silver,168 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
TRYX PANORAMA SE ARGB         (2),TRYX,,L-P360L-AM3M-G0W,500 - 1850 RPM,,White,125 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 360 mm,No
ARCTIC Liquid Freezer III 420         (10),ARCTIC,Liquid Freezer III 420,ACFRE00137A,200 - 1700 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 420 mm,No
Noctua NH-L12S         (50),Noctua,,NH-L12S,450 - 1850 RPM,16.8 - 23.9 dB,,70 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Corsair NAUTILUS 360 RS         (0),Corsair,NAUTILUS 360 RS,CW-9060089-WW,2100 RPM,34 dB,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
ID-COOLING FROZN A410 BLACK         (2),ID-COOLING,,FROZN A410 BLACK,500 - 2000 RPM,29.85 dB,Black,152 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright Assassin X Refined SE ARGB         (3),Thermalright,,"AX120R SE ARGB D6-CAD, Assassin X 120 Refined SE ARGB",1550 RPM,25.6 dB,Black / Silver,148 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Intel E97379-001         (36),Intel,,E97379-001,1200 - 2800 RPM,22 dB,Silver / Black,51 mm,"LGA1150, LGA1151, LGA1155, LGA1156, LGA1200",No,No
Cooler Master Hyper 212 RGB Black Edition         (239),Cooler Master,Hyper 212 RGB Black Edition,RR-212S-20PC-R1,650 - 2000 RPM,8 - 30 dB,Black,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Noctua NH-D15S chromax.black         (69),Noctua,,"NH-D15S chromax.black, NH-D15S CH.BK",300 - 1500 RPM,19.2 - 24.6 dB,Black,160 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Iceberg Thermal IceFLOE T95         (0),Iceberg Thermal,IceFLOE T95,ICEFLOE95-00A,1000 - 2200 RPM,32.3 dB,Teal / Silver,78 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366",No,No
Thermalright Peerless Assassin 120 White         (12),Thermalright,Peerless Assassin 120 White,"PA120 White, PA120 WHITE D6-CAD",1550 RPM,25.6 dB,White,157 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Corsair iCUE H170i ELITE LCD XT         (6),Corsair,iCUE H170i ELITE LCD XT,CW-9060076-WW,500 - 1700 RPM,5 - 33.8 dB,Black,,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 420 mm,No
ID-COOLING FX360 PRO         (2),ID-COOLING,,FX360 PRO,500 - 1800 RPM,35.2 dB,Black,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
ARCTIC Alpine 23         (1),ARCTIC,Alpine 23,ACALP00035A,100 - 2000 RPM,,White / Black,65 mm,"AM4, AM5",No,No
NZXT Kraken 240 RGB         (5),NZXT,Kraken 240 RGB,RL-KR240-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes - 240 mm,No
Cooler Master MASTERLIQUID ML240L RGB V2         (120),Cooler Master,MASTERLIQUID ML240L RGB V2,MLW-D24M-A18PC-R2,650 - 1800 RPM,6 - 27 dB,Black,,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No
ARCTIC Liquid Freezer III 420 A-RGB         (9),ARCTIC,Liquid Freezer III 420 A-RGB,ACFRE00145A,200 - 1900 RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes - 420 mm,No
Lian Li Hydroshift LCD 360S         (3),Lian Li,Hydroshift LCD 360S,"HSLCD36SW, GHSLCD36SW",200 - 2500 RPM,29.8 dB,White,59 mm,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
Lian Li Hydroshift LCD 360S         (3),Lian Li,Hydroshift LCD 360S,"HSLCD36SB, GHSLCD36SB",200 - 2500 RPM,29.8 dB,Black,59 mm,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
Thermalright Peerless Assassin 120 SE V3         (1),Thermalright,Peerless Assassin 120 SE V3,"PA120SE V3, Peerless Assassin 120 SE V3",2000 RPM,29.8 dB,Black / Silver,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Lian Li HydroShift LCD 360TL RGB         (2),Lian Li,HydroShift LCD 360TL RGB,HSLCD36TB,200 - 2600 RPM,33 dB,Black,59 mm,"AM4, AM5, LGA1700, LGA1851",Yes - 360 mm,No
be quiet! Dark Rock Pro 4         (180),be quiet!,Dark Rock Pro 4,BK022,1500 RPM,12.8 - 24.3 dB,Black,163 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Montech HyperFlow ARGB 360         (6),Montech,HyperFlow ARGB 360,HyperFlow ARGB 360 Black,2200 RPM,29.1 dB,Black,,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Thermalright Frozen Notte ARGB         (8),Thermalright,,Frozen Notte 240 WHITE ARGB,2000 RPM,27.7 dB,White,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No
Thermalright Frozen Infinity 360 ARGB         (3),Thermalright,Frozen Infinity 360 ARGB,Frozen Infinity 360 BLACK,2000 RPM,28.2 dB,Black,60 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
Corsair iCUE H150i ELITE CAPELLIX XT         (20),Corsair,iCUE H150i ELITE CAPELLIX XT,CW-9060073-WW,550 - 2100 RPM,,White,,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No
be quiet! Dark Rock 5         (4),be quiet!,,BK035,2100 RPM,11.9 - 29.8 dB,Black,161 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
