name,Manufacturer,Part #,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Color,Brightness,Pixel Pitch,Widescreen,Curved Screen,Frame Sync,Built-in Speakers,Viewing Angle,Inputs
Asus ROG Strix XG27AQDMG         (4),Asus,"XG27AQDMG, 90LM0AH0-B01AB0","26.5""",2560 x 1440,240 Hz,0.03 ms,WOLED,16:9,Black / Red,450 cd/m²,0.229 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
LG UltraGear OLED 27GS93QE-B         (1),LG,"27GS93QE-B, 27GS93QE-B.AUS","26.5""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,Black,275 cd/m²,0.229 mm,Yes,No,FreeSync Premium Pro,No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
Asus ROG Strix OLED XG27ACDNG         (0),Asus,"XG27ACDNG, Strix OLED XG27ACDNG, ROG Strix OLED XG27ACDNG, 90LM0AN0-B01970, 90LM0AN0-B019B0","26.5""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,Black,1000 cd/m²,0.229 mm,Yes,No,"FreeSync Premium Pro, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
Dell Alienware AW2725DF         (5),Dell,"AW2725DF, VP7PF, Aw2725dfsap, 210-BLHH, GAME-AW2725DF","26.7""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,Black,1000 cd/m²,0.231 mm,Yes,No,FreeSync Premium Pro,No,178° H x 178° V,"2 x DisplayPort 1.4, 1 x HDMI 2.1"
Cooler Master GM2711S         (1),Cooler Master,"GM2711S, CMI-GM2711S-AP, CMI-GM2711S-EK, CMI-GM2711S-US, CMI-GM2711S","27""",2560 x 1440,180 Hz,2 ms,IPS,16:9,Black,350 cd/m²,0.233 mm,Yes,No,FreeSync,Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
Asus TUF Gaming VG34VQL3A         (1),Asus,"VG34VQL3A, 90LM06F0-B02E70, 90LM06F0-B02EB0","34""",3440 x 1440,180 Hz,1 ms,VA,21:9,Black,400 cd/m²,0.232 mm,Yes,Yes,FreeSync Premium Pro,Yes,178° H x 178° V,"2 x HDMI 2.0, 2 x DisplayPort 1.4"
MSI MAG 255XFV         (0),MSI,MAG 255XFV,"24.5""",1920 x 1080,250 Hz,0.5 ms,VA,16:9,Black,250 cd/m²,0.282 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.0b, 1 x DisplayPort 1.4"
Acer Nitro ‎KG271 M3biip         (1),Acer,UM.HX1AA.302,"27""",1920 x 1080,180 Hz,0.5 ms,IPS,16:9,Black,250 cd/m²,0.311 mm,Yes,No,FreeSync Premium,No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
Asus ROG Swift OLED PG32UCDP         (2),Asus,"90LM0A50-B013B0, ROG Swift OLED PG32UCDP, PG32UCDP","31.5""",3840 x 2160,240 Hz,0.03 ms,WOLED,16:9,Black,1300 cd/m²,0.182 mm,Yes,No,"FreeSync Premium Pro, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
AOC Q27G4X         (1),AOC,Q27G4X,"27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,Black,450 cd/m²,0.233 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
Pixio PX257P         (0),Pixio,PX257P,"24.5""",1920 x 1080,144 Hz,1 ms,IPS,16:9,Black,350 cd/m²,0.282 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"1 x DisplayPort 1.2, 2 x HDMI 1.4"
MSI MPG 322URX QD-OLED         (1),MSI,"MPG 322URX QD-OLED, 9S6-3DD29A-018","32""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,Black,1000 cd/m²,0.184 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 2.1"
Gigabyte ‎M28U         (13),Gigabyte,"M28U-SA, M28U-EK, M28U-EU, M28U","28""",3840 x 2160,144 Hz,1 ms,IPS,16:9,Black,300 cd/m²,0.161 mm,Yes,No,FreeSync Premium Pro,No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
LG UltraGear OLED 27GX790A-B         (0),LG,"27GX790A-B, LG 27GX790A-B, 27GX790A-B.AUS, 27GX790A-B.AEU, 27GX790A","27""",2560 x 1440,480 Hz,0.03 ms,OLED,16:9,Black,275 cd/m²,0.233 mm,Yes,No,"FreeSync Premium Pro, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 2.1"
Acer Nitro XV1 XV271U M3bmiiprx         (12),Acer,"UM.HX1AA.301, Xv271u M3bmiiprx, Nitro Xv271u M3bmiiprx, UM.HX1SA.301","27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,Black / Red,250 cd/m²,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
KOORUI 27E3QK         (1),KOORUI,27E3QK,"27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,Black,,0.233 mm,Yes,No,FreeSync Premium,No,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
Samsung C24F390         (17),Samsung,C24F390,"24""",1920 x 1080,60 Hz,4 ms,VA,16:9,,250 cd/m²,0.277 mm,Yes,Yes,FreeSync,No,178° H x 178° V,"1 x HDMI, 1 x VGA"
LG UltraGear 27GR83Q-B         (5),LG,27GR83Q-B,"27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,Black,400 cd/m²,0.233 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"1 x HDMI, 1 x DisplayPort"
Asus TUF Gaming VG249QL3A         (1),Asus,"TUF Gaming VG249QL3A, 90LM09G0-B011B0, VG249QL3A, 90lm09g0-b01170","23.8""",1920 x 1080,180 Hz,1 ms,IPS,16:9,Black,350 cd/m²,0.274 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",Yes,178° H x 178° V,"1 x DisplayPort 1.2, 2 x HDMI 2.0"
Lenovo LT1952p         (0),Lenovo,2448MB6,"19""",1440 x 900,,5 ms,,16:10,,250 cd/m²,0.284 mm,Yes,No,None,No,170° H x 160° V,"1 x VGA, 1 x DisplayPort, 1 x DVI"
Asus ROG Swift Pro PG248QP         (1),Asus,"PG248QP, ROG Swift Pro PG248QP, 90LM08T0-B013B0, 90LM08T0-B01370","24.1""",1920 x 1080,540 Hz,0.2 ms,TN,16:9,Black,400 cd/m²,0.278 mm,Yes,No,G-Sync,No,170° H x 160° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
Samsung Odyssey OLED G6 (G61SD)         (0),Samsung,"LS27DG610SNXZA, S27DG610SN, LS27DG610SEXXY, LS27DG612SUXXU","27""",2560 x 1440,240 Hz,0.03 ms,QD-OLED,16:9,Silver / Black,250 cd/m²,0.233 mm,Yes,No,FreeSync Premium Pro,No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
MSI G2422C         (2),MSI,G2422C,"24""",1920 x 1080,180 Hz,,VA,16:9,Black,250 cd/m²,0.277 mm,Yes,Yes,FreeSync,No,178° H x 178° V,
LG UltraGear 32GS95UV-W         (1),LG,"32GS95UV-W, 32GS95UV-W.aus","31.5""",3840 x 2160,240 Hz,0.03 ms,OLED,16:9,White,275 cd/m²,0.182 mm,Yes,No,"FreeSync Premium Pro, G-Sync Compatible",Yes,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
MSI MPG 341CQPX QD-OLED         (1),MSI,MPG 341CQPX QD-OLED,"34""",3440 x 1440,240 Hz,0.03 ms,QD-OLED,21:9,Black,1000 cd/m²,0.232 mm,Yes,Yes,FreeSync,No,178° H x 178° V,"1 x DisplayPort 1.4a, 1 x USB Type-C, 2 x HDMI 2.1"
Samsung Odyssey G50D         (0),Samsung,"LS27DG500ENXZA, LS27DG502EUXXU, LS27DG500EUXEN","27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,Black,350 cd/m²,0.233 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x HDMI 2.0, 1 x DisplayPort 1.2"
LG 27GS95QE-B         (3),LG,"27GS95QE-B, 27GS95QE-B.AEU","27""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,Black,275 cd/m²,0.233 mm,Yes,No,"FreeSync Premium Pro, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
Acer Nitro EDA270U P         (2),Acer,"UM.HE0AA.P09, EDA270U P, Nitro EDA270U Pbmiipx","27""",2560 x 1440,170 Hz,,VA,16:9,Black,250 cd/m²,0.233 mm,Yes,Yes,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.2"
Asus ROG Swift OLED PG34WCDM         (1),Asus,"PG34WCDM, ROG Swift OLED PG34WCDM, 90LM09L0-B01A70, 90LM09L0-B01AB0","33.94""",3440 x 1440,240 Hz,0.03 ms,OLED,21:9,Black,1300 cd/m²,0.231 mm,Yes,Yes,"FreeSync Premium Pro, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x USB Type-C, 1 x DisplayPort 1.4"
LG 27GS75Q-B         (3),LG,"27GS75Q-B, 27GS75Q-B.AEU","27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,Black,300 cd/m²,0.233 mm,Yes,No,"FreeSync, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
MSI MAG 271QPX QD-OLED E2         (3),MSI,MAG 271QPX QD-OLED E2,"26.5""",2560 x 1440,240 Hz,0.03 ms,QD-OLED,16:9,Black,1000 cd/m²,0.229 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x DisplayPort 1.4a, 2 x HDMI 2.1, 1 x USB Type-C"
MSI PRO MP275Q         (0),MSI,"PRO MP275Q, 9S6-3PC3CM-029","27""",2560 x 1440,100 Hz,4 ms,IPS,16:9,Black,300 cd/m²,0.233 mm,Yes,No,FreeSync,Yes,178° H x 178° V,"2 x HDMI 2.0b, 1 x DisplayPort 1.2a"
Cooler Master Tempest GZ2711         (0),Cooler Master,"CMI-GZ2711-US, CMI-GZ2711-UK, CMI-GZ2711-AU, CMI-GZ2711-EU, CMI-GZ2711-AP","27""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,Black,450 cd/m²,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.1, 2 x DisplayPort 1.4, 1 x USB Type-C"
Samsung Odyssey G4         (4),Samsung,LS27BG402ENXGO,"27""",1920 x 1080,240 Hz,1 ms,IPS,16:9,Black,400 cd/m²,0.311 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"1 x DisplayPort 1.2, 2 x HDMI 2.0"
MSI PRO MP245V         (0),MSI,PRO MP245V,"23.8""",1920 x 1080,100 Hz,4 ms,VA,16:9,Black,300 cd/m²,0.274 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x HDMI 1.4, 1 x VGA"
Acer VG271U M3bmiipx         (10),Acer,"VG271U M3, VG271U M3bmiipx, UM.HV1AA.301, UM.HV1EE.304","27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,Blue / Black,250 cd/m²,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.2"
Dell G2524H         (1),Dell,"G2524H, 210-BHYC, G2524hsap, 29J9X","24.5""",1920 x 1080,280 Hz,0.5 ms,IPS,16:9,Black,400 cd/m²,0.282 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"1 x HDMI 1.4, 2 x DisplayPort 1.4"
LG 27GN800-B         (16),LG,"27GN800-B, 27GN800-B.AEU","27""",2560 x 1440,144 Hz,1 ms,IPS,16:9,Black / Red,350 cd/m²,0.233 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
Sony INZONE M10S         (0),Sony,"SDM27Q10S, INZONE M10S","27""",2560 x 1440,480 Hz,0.03 ms,OLED,16:9,Black,1300 cd/m²,0.233 mm,Yes,No,"FreeSync, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 2.1"
AOC 24G4XE         (0),AOC,24G4XE,"24""",1920 x 1080,180 Hz,,IPS,16:9,Black,300 cd/m²,0.277 mm,Yes,No,"FreeSync, G-Sync Compatible",Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
KOORUI 27E1QA         (4),KOORUI,27E1QA,"27""",2560 x 1440,144 Hz,,VA,16:9,Black,300 cd/m²,0.233 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x HDMI 2.0, 1 x HDMI 1.4, 1 x DisplayPort 1.2"
LG 24GN650-B         (7),LG,"24GN650-B, 24GN650-B.AEU","24""",1920 x 1080,144 Hz,1 ms,IPS,16:9,Black / Red,300 cd/m²,0.277 mm,Yes,No,FreeSync Premium,No,178° H x 178° V,"2 x HDMI, 1 x DisplayPort"
Asus VG248QG         (20),Asus,"VG248QG, 90LMGG901Q022E1C-","24""",1920 x 1080,165 Hz,0.5 ms,TN,16:9,Black,350 cd/m²,0.277 mm,Yes,No,"FreeSync, G-Sync Compatible",Yes,170° H x 160° V,"1 x HDMI, 1 x DVI-D Dual Link, 1 x DisplayPort"
MSI MPG 491CQPX QD-OLED         (2),MSI,"MPG 491CQPX QD-OLED, 9S6-3FA84T-017","49""",5120 x 1440,240 Hz,0.03 ms,QD-OLED,32:9,Black,1000 cd/m²,0.234 mm,Yes,Yes,FreeSync,No,178° H x 178° V,"1 x HDMI 2.1, 1 x DisplayPort 1.4a, 1 x USB Type-C"
Samsung Odyssey G40B         (3),Samsung,LS25BG402ENXGO,"25""",1920 x 1080,240 Hz,1 ms,IPS,16:9,Black,400 cd/m²,0.288 mm,Yes,No,"FreeSync Premium, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.2"
Lenovo Legion R27qe         (1),Lenovo,"67c5gac1us, 67c5gac1uk, 67c5gac1eu, 67c5gac1au","27""",2560 x 1440,180 Hz,,IPS,16:9,Black,450 cd/m²,0.233 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
Gigabyte M27Q-X         (7),Gigabyte,"M27Q-X, M27Q X-SA, 9DM27QX-00-1ABEK, M27Q X-EU","27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,Black,350 cd/m²,0.233 mm,Yes,No,FreeSync Premium,Yes,178° H x 178° V,"2 x HDMI 2.0, 1 x DisplayPort 1.4"
Pixio PX246 Wave         (0),Pixio,810166730556,"24""",1920 x 1080,120 Hz,4 ms,IPS,16:9,Black,300 cd/m²,0.277 mm,Yes,No,FreeSync,Yes,178° H x 178° V,"1 x HDMI 2.0, 1 x VGA"
Samsung Odyssey Neo G8         (8),Samsung,"LS32BG852NNXGO, LS32BG850NUXXU","32""",3840 x 2160,240 Hz,1 ms,VA,16:9,Black / Silver,1000 cd/m²,0.184 mm,Yes,Yes,"FreeSync Premium Pro, G-Sync Compatible",No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 1.4"
MSI MPG 272URX QD-OLED         (1),MSI,MPG 272URX QD-OLED,"27""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,Black,1000 cd/m²,0.156 mm,Yes,No,FreeSync,No,178° H x 178° V,"2 x HDMI 2.1, 1 x DisplayPort 2.1, 1 x USB Type-C"
MSI MAG 321UPX QD-OLED         (1),MSI,"MAG 321UPX QD-OLED, 9S6-3DD39T-001, 9S6-3DD39T-002, 9S6-3DD39T-006","31.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,,1000 cd/m²,0.182 mm,Yes,No,FreeSync,No,178° H x 178° V,"1 x DisplayPort 1.4a, 2 x HDMI, 1 x USB Type-C"
