name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x1 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
Gigabyte B850 AORUS ELITE WIFI7 ICE         (6),Gigabyte,"B850 AORUS ELITE WIFI7 ICE, B850 A ELITE WF7 ICE",AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",White / Silver,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
Asus ROG STRIX B550-F GAMING WIFI II         (33),Asus,"STRIX B550-F GAMING WIFI II, ROG STRIX B550-F GAMING WIFI II, 90MB19V0-M0EAY0",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-3000, DDR4-3200, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4666, DDR4-4800, DDR4-4866, DDR4-5100",Black / Red,2,3,"2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",6,1 x 2.5 Gb/s Ports (Intel I225-V),Depends on CPU,2,1,,No,Wi-Fi 6,Yes,No
Asus ROG ZENITH II EXTREME ALPHA         (4),Asus,"ROG ZENITH II EXTREME ALPHA, ZENITH II EXTREME ALPHA, 90MB14K0-M0EAY0",sTRX4,EATX,AMD TRX40,256 GB,DDR4,8,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-3400, DDR4-3733, DDR4-3800, DDR4-4133, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4600",Black / Silver,4,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",8,"1 x 1 Gb/s Ports (Intel I211-AT), 1 x 10 Gb/s Ports (Aquantia AQC-107 10G)",No,2,2,2,Yes,Wi-Fi 6,Yes,No
MSI B550-A PRO         (119),MSI,"B550-A PRO, 7C56-002R",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400",Black / Silver,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",6,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,1,No,None,Yes,No
Asus ROG CROSSHAIR X870E HERO         (2),Asus,"ROG CROSSHAIR X870E HERO, 90MB1IE0-M0AAY0, 90MB1IE0-M0EAY0",AM5,ATX,AMD X870E,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400, DDR5-8600",Black,2,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2280 M-key",4,"1 x 2.5 Gb/s Ports (Intel), 1 x 5 Gb/s Ports (Realtek)",Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
MSI B550 GAMING GEN3         (7),MSI,"B550 GAMING GEN3, 7B86-050R, 911-7B86-050",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400",Black,2,4,2260/2280/22110 M-key,6,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,,No,None,Yes,No
Asus ROG STRIX B650E-F GAMING WIFI         (59),Asus,"ROG STRIX B650E-F GAMING WIFI, 90MB1BQ0-M0AAY0, 90MB1BQ0-M0EAY0, 90MB1BQ0-M0EAY1",AM5,ATX,AMD B650E,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,2,2,"2242/2260/2280 M-key, 2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Intel I225-V),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
MSI PRO H610M-G DDR4         (9),MSI,"PRO H610M-G DDR4, 7D46-009R, 911-7D46-003",LGA1700,Micro ATX,Intel H610,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200",Black / Silver,1,1,"2242/2260/2280 M-key, 2230 E-key",4,1 x 1 Gb/s Ports (Intel I219-V),Depends on CPU,1,1,,No,None,No,No
Asus TUF GAMING B650-E WIFI         (18),Asus,"TUF GAMING B650-E WIFI, 90MB1GT0-M0EAY0, 90MB1GT0-M0AAY0",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Black / Orange,2,1,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6E,Yes,No
MSI PRO B650M-P         (17),MSI,"PRO B650M-P, 7E27-001R, 911-7E27-001",AM5,Micro ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000",Black / Silver,1,2,"2260/2280 M-key, 2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,1,1,No,None,Yes,No
Asus ROG STRIX B650-A GAMING WIFI         (50),Asus,"ROG STRIX B650-A GAMING WIFI, 90MB1BP0-M0AAY0, 90MB1BP0-M0EAY0",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black / Silver,2,2,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Asus TUF GAMING B850M-PLUS WIFI         (4),Asus,"TUF GAMING B850M-PLUS WIFI, 90MB1IY0-M0AAY0, 90MB1IY0-M0EAY0",AM5,Micro ATX,AMD B850,192 GB,DDR5,4,"DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",Black,1,1,"2280 M-key, 2242/2260/2280 M-key, 2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,1,1,1,No,Wi-Fi 6E,Yes,No
MSI MAG X670E TOMAHAWK WIFI         (41),MSI,"MAG X670E TOMAHAWK WIFI, 7E12-001R, 911-7E12-001",AM5,ATX,AMD X670E,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600",Black,3,1,"2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,2,1,No,Wi-Fi 6E,Yes,No
Gigabyte B850 AORUS ELITE WIFI7         (3),Gigabyte,"B850 AORUS ELITE WIFI7, B850 A ELITE WF7, B850 AORUS ELITE WF7",AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",Black,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
MSI PRO A620M-E         (3),MSI,"PRO A620M-E, 7E28-001R, 911-7E28-001",AM5,Micro ATX,AMD A620,96 GB,DDR5,2,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,1,1,2260/2280 M-key,4,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,,No,None,Yes,No
Asus TUF GAMING B550-PLUS WIFI II         (23),Asus,"TUF GAMING B550-PLUS WIFI II, 90MB19U0-MVAAY0, 90MB19U0-M0EAY0",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4600, DDR4-4800, DDR4-4866",Black / Gray,2,3,"2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",6,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6,Yes,No
Gigabyte Z790 AORUS ELITE AX         (25),Gigabyte,Z790 AORUS ELITE AX,LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4000, DDR5-4800, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600",Black,3,,"2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",6,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
ASRock B650 Steel Legend WiFi         (13),ASRock,"B650 Steel Legend WiFi, 90-MXBN90-A0UAYZ",AM5,ATX,AMD B650,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",White / Silver,2,1,"2260/2280 M-key, 2230/2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,2,1,No,Wi-Fi 6E,Yes,No
ASRock B650I Lightning Wifi         (29),ASRock,"B650I Lightning Wifi, 90-MXBMP0-A0UAYZ",AM5,Mini ITX,AMD B650,96 GB,DDR5,2,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",Black,1,,"2280 M-key, 2280 M-key, 2230 E-key",2,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,1,1,1,No,Wi-Fi 6E,Yes,No
Asus ROG STRIX B760-I GAMING WIFI         (17),Asus,"ROG STRIX B760-I GAMING WIFI, 90MB1D90-M0AAY0, 90MB1D90-M0EAY0, 90MB1D90-M1EAY0",LGA1700,Mini ITX,Intel B760,96 GB,DDR5,2,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600",Black,1,,"2260/2280 M-key, 2242/2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,1,1,1,No,Wi-Fi 6E,Yes,No
Asus ROG STRIX B850-I GAMING WIFI         (6),Asus,"ROG STRIX B850-I GAMING WIFI, STRIX B850-I GAMING WIFI, 90MB1K30-M0EAY0, 90MB1K30-MVAAY0",AM5,Mini ITX,AMD B850,96 GB,DDR5,2,"DDR5-4400, DDR5-8400",Black,1,,"2242/2260/2280 M-key, 2242/2260/2280 M-key",2,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,1,1,1,No,Wi-Fi 7,No,No
Gigabyte Z790 EAGLE AX         (4),Gigabyte,Z790 EAGLE AX,LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400",Gray / Black,3,2,"2280/22110 M-key, 2280 M-key, 2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
ASRock X870 Pro RS         (1),ASRock,"X870 Pro RS, 90-MXBPZ0-A0UAYZ",AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,2,,"2280 M-key, 2230/2242/2260/2280 M-key, 2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,1,,No,None,Yes,No
Gigabyte X870E AORUS PRO ICE         (9),Gigabyte,X870E AORUS PRO ICE,AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,3,,"2580/25110 M-key, 2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Asus TUF GAMING B650M-E WIFI         (7),Asus,"TUF GAMING B650M-E WIFI, 90MB1FV0-M0EAY0",AM5,Micro ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,1,2,"2242/2260/2280 M-key, 2242/2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6,Yes,No
MSI MEG X870E GODLIKE         (0),MSI,"MEG X870E GODLIKE, 7E48-001R",AM5,EATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400",Black,2,,"2260/2280 M-key, 2260/2280 M-key, 2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key",4,"1 x 10 Gb/s Ports (Marvell AQtion AQC113C), 1 x 5 Gb/s Ports (Realtek 8126)",Depends on CPU,2,2,1,No,Wi-Fi 7,Yes,No
NZXT N7 Z790         (8),NZXT,N7-Z79XT-W1,LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",White / Black,3,2,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,1,,No,Wi-Fi 6E,Yes,No
Asus TUF GAMING X870-PLUS WIFI         (4),Asus,"TUF GAMING X870-PLUS WIFI, 90MB1IU0-M0EAY0, 90MB1IU0-M0AAY0",AM5,ATX,AMD X870,192 GB,DDR5,4,"DDR5-5600, DDR5-8000",Black,2,,"2280 M-key, 2280 M-key, 2280 M-key, 2242/2260/2280 M-key",2,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
ASRock B850M Pro-A WiFi         (2),ASRock,"B850M Pro-A WiFi, 90-MXBR9-A0UAYZ, 90-MXBR90-A0UAYZ",AM5,Micro ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Black,1,,"2280 M-key, 2280 M-key, 2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,2,1,No,Wi-Fi 6E,Yes,No
ASRock B650M Pro RS         (21),ASRock,"B650M Pro RS, 90-MXBLP0-A0UAYZ",AM5,Micro ATX,AMD B650,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200",Black / Silver,2,,"2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,2,1,No,None,Yes,No
MSI PRO B550M-VC WIFI         (53),MSI,PRO B550M-VC WIFI,AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400",Black,4,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2230 E-key",8,1 x 1 Gb/s Ports (Realtek RTL8111HN),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Gigabyte X870I AORUS PRO ICE         (4),Gigabyte,X870I AORUS PRO ICE,AM5,Mini ITX,AMD X870,128 GB,DDR5,2,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400",White,1,,"2280 M-key, 2280 M-key",2,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,1,1,1,No,Wi-Fi 7,Yes,No
ASRock X870 Pro RS WiFi         (6),ASRock,"X870 Pro RS WiFi, 90-MXBQ00-A0UAYZ",AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,2,,"2280 M-key, 2230/2242/2260/2280 M-key, 2280 M-key, E-key",4,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
