name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x1 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
Asus TUF GAMING Z790-PLUS WIFI         (7),Asus,"TUF GAMING Z790-PLUS WIFI, 90MB1D80-M0EAY0, 90MB1D80-M0AAY0, 90MB1D80-M1EAY0",LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",Black / Gray,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
MSI PRO B760M-P DDR4         (4),MSI,"PRO B760M-P DDR4, 7E02-001R, 911-7E02-001",LGA1700,Micro ATX,Intel B760,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3800, DDR4-4000, DDR4-4200, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4800",Black,1,2,"2242/2260/2280 M-key, 2242/2260/2280 M-key",4,1 x 1 Gb/s Ports (Realtek 8111H),Depends on CPU,2,1,,No,None,Yes,No
MSI MAG X870E TOMAHAWK WIFI         (4),MSI,"MAG X870E TOMAHAWK WIFI, 7E59-004R",AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-8400",Black / Green,3,,"2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 5 Gb/s Ports (Realtek 8126),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Asus ROG STRIX Z790-A GAMING WIFI II         (7),Asus,"ROG STRIX Z790-A GAMING WIFI II, 90MB1FN0-M0EAY0, 90MB1FN0-M0AAY0",LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",Black / Silver,2,1,"2242/2260/2280/22110 M-key, 2280 M-key, 2280 M-key, 2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,1,,No,Wi-Fi 7,Yes,No
Gigabyte B850 GAMING WIFI6         (1),Gigabyte,"B850 GAMING WIFI6, B850 GAMING WF6",AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",Black / Gray,4,,"2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6,Yes,No
ASRock X870E Taichi         (4),ASRock,"X870E Taichi, 90-MXBP90-A0UAYZ",AM5,EATX,AMD X870E,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200",Black,2,,"2280 M-key, 2280 M-key, 2280 M-key, 2280 M-key, 2230 E-key",6,1 x 5 Gb/s Ports (Realtek 8126),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
Gigabyte B550 EAGLE WIFI6         (1),Gigabyte,B550 EAGLE WIFI6,AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200",Black,5,,"2280/22110 M-key, 2280/22110 M-key",4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
Asus ROG STRIX B650E-I GAMING WIFI         (63),Asus,"ROG STRIX B650E-I GAMING WIFI, 90MB1BI0-M0EAY0",AM5,Mini ITX,AMD B650E,96 GB,DDR5,2,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,1,,"2242/2260/2280 M-key, 2242/2260/2280 M-key",2,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,1,1,1,No,Wi-Fi 6E,Yes,No
Gigabyte B650 AORUS ELITE AX         (88),Gigabyte,B650 AORUS ELITE AX,AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600",Black / Silver,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6E,Yes,No
MSI PRO B650M-A WIFI         (41),MSI,"PRO B650M-A WIFI, 7D77-001R, B650MAWIFI, 911-7D77-001",AM5,Micro ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,2,1,"2260/2280 M-key, 2260/2280 M-key",4,1 x 2.5 Gb/s Ports (Realtek 8125BG),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
ASRock B760M-HDV/M.2         (3),ASRock,"B760M-HDV/M.2, 90-MXBMJ0-A0UAYZ",LGA1700,Micro ATX,Intel B760,96 GB,DDR5,2,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",White / Black,1,2,"2260/2280 M-key, 2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,1,,No,None,Yes,No
Asus ROG STRIX B850-A GAMING WIFI         (3),Asus,"ROG STRIX B850-A GAMING WIFI, 90MB1J50-M0AAY0, 90MB1J50-M0EAY0",AM5,ATX,AMD B850,192 GB,DDR5,4,"DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,2,,"2242/2260/2280 M-key, 2280/22110 M-key, 2280 M-key, 2280 M-key",2,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2,1,1,No,Wi-Fi 7,Yes,No
Gigabyte A520I AC         (19),Gigabyte,"A520I AC, GA-A520I AC",AM4,Mini ITX,AMD A520,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3333, DDR4-3600, DDR4-4000, DDR4-4400, DDR4-4600, DDR4-4866, DDR4-5000, DDR4-5100",Black,1,,2260/2280 M-key,4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,1,1,,No,Wi-Fi 5,Yes,No
ASRock B550M Pro4         (49),ASRock,"B550M Pro4, 90-MXBDK0-A0UAYZ",AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3800, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4533",Silver / Black,2,1,"2280 M-key, 2280 M-key, 2230 E-key",6,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,2,,No,None,Yes,No
Gigabyte B550 GAMING X V2         (21),Gigabyte,"B550 GAMING X V2, GAB55GMX2-00-G, GA-B550-GAMING-X-V2",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3300, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3800, DDR4-3866, DDR4-4000, DDR4-4400, DDR4-4600, DDR4-4733",Black,2,3,"2242/2260/2280/22110 M-key, 2242/2260/2280/22110 M-key",4,1 x 1 Gb/s Ports,Depends on CPU,2,1,1,No,None,Yes,No
MSI MPG X870E CARBON WIFI         (6),MSI,"MPG X870E CARBON WIFI, 7E49-001R, 911-7E49-08S",AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400",Black,3,,"2260/2280 M-key, 2260/2280 M-key, 2280/22110 M-key, 2260/2280 M-key",4,"1 x 5 Gb/s Ports (Realtek 8126), 1 x 2.5 Gb/s Ports (Realtek 8125)",Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
MSI A520M-A PRO         (5),MSI,"A520M-A PRO, 7C96-001R, 911-7C96-001",AM4,Micro ATX,AMD A520,64 GB,DDR4,2,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4600",Black,1,1,2242/2260/2280 M-key,4,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,,No,None,Yes,No
ASRock Z790 Lightning WiFi         (2),ASRock,Z790 Lightning WiFi,LGA1700,ATX,Intel Z790,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600",Silver / Black,2,2,"2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",6,1 x 2.5 Gb/s Ports (Intel Killer E3100G),Depends on CPU,2,2,1,No,Wi-Fi 6E,Yes,No
Gigabyte B650 AORUS ELITE AX ICE         (46),Gigabyte,"B650 AORUS ELITE AX ICE, B650 A ELITE AX ICE",AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Silver,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6E,Yes,No
Gigabyte B850M AORUS ELITE WIFI6E ICE         (2),Gigabyte,"B850M AORUS ELITE WIFI6E ICE, B850M A ELT WF6E ICE",AM5,Micro ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",White / Silver,2,,"2580/25110 M-key, 2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 6E,Yes,No
MSI PRO Z790-S WIFI         (2),MSI,"PRO Z790-S WIFI, 7D88-001R, 911-7D88-001",LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600",Black,2,3,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,2,,No,Wi-Fi 6E,Yes,No
Gigabyte X870 GAMING WIFI6         (1),Gigabyte,"X870 GAMING WIFI6, X870 GAMING WF6",AM5,ATX,AMD X870,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200",Black / Gray,3,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,4,1,,No,Wi-Fi 6,Yes,No
Gigabyte B850M GAMING X WIFI6E         (1),Gigabyte,"B850M GAMING X WIFI6E, B850M GAMING X WF6E",AM5,Micro ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",Black,2,,"2580/25110 M-key, 2580/25110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
ASRock B450M/ac R2.0         (12),ASRock,B450M/ac R2.0,AM4,Micro ATX,AMD B450,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200",Black / Silver,2,,"2242/2260/2280 M-key, 2230 E-key",4,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,,No,Wi-Fi 5,Yes,No
Asus ProArt X870E-CREATOR WIFI         (5),Asus,"ProArt X870E-CREATOR WIFI, 90mb1ig0-m0aay0, 90MB1IG0-M0EAY0",AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-7800, DDR5-8000",Black / Gold,3,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key",4,"1 x 10 Gb/s Ports (Marvell AQtion), 1 x 2.5 Gb/s Ports (Intel)",Depends on CPU,3,1,,No,Wi-Fi 7,Yes,No
ASRock A520M-HDV         (7),ASRock,"A520M-HDV, 90-MXBE50-A0UAYZ",AM4,Micro ATX,AMD A520,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3800, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4533, DDR4-4600, DDR4-4666, DDR4-4733",Black / Silver,1,1,2242/2260/2280 M-key,4,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,,No,None,Yes,No
Asus Z790-AYW WIFI W         (0),Asus,Z790-AYW WIFI W,LGA1700,ATX,Intel Z790,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",White,3,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2,2,1,No,Wi-Fi 6,Yes,No
MSI MPG B550 GAMING PLUS         (82),MSI,"MPG B550 GAMING PLUS, 7C56-003R, B550GPLUS",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400",Black,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",6,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,1,No,None,Yes,No
ASRock Phantom Gaming X870E Nova WiFi         (6),ASRock,"X870E Nova WiFi, 90-MXBPX0-A0UAYZ",AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-8200",Black / Purple,2,1,"2280 M-key, 2280 M-key, 2280 M-key, 2280 M-key, 2280 M-key, 2230 E-key",4,1 x 5 Gb/s Ports (Realtek 8126),Depends on CPU,2,2,,No,Wi-Fi 7,Yes,No
MSI PRO B850-P WIFI         (1),MSI,"PRO B850-P WIFI, 7E56-002R, 911-7E56-06S",AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4800, DDR5-5600, DDR5-6400, DDR5-8200",Silver / Black,4,,"2260/2280 M-key, 2280/22110 M-key, 2260/2280 M-key",4,1 x 5 Gb/s Ports (Realtek 8126VB),Depends on CPU,2,2,1,No,Wi-Fi 7,Yes,No
MSI PRO B840-P WIFI         (0),MSI,"PRO B840-P WIFI, 7E57-001R",AM5,ATX,AMD B840,256 GB,DDR5,4,"DDR5-4800, DDR5-5600, DDR5-6400, DDR5-8000",Silver,5,,"2260/2280 M-key, 2260/2280/22110 M-key",4,1 x 2.5 Gb/s Ports (Realtek 8125D),Depends on CPU,2,1,1,No,Wi-Fi 7,Yes,No
Asus TUF GAMING A520M-PLUS WIFI         (6),Asus,"TUF GAMING A520M-PLUS WIFI, 90MB17F0-M0EAY0",AM4,Micro ATX,AMD A520,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-3000, DDR4-3200, DDR4-3333, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4600, DDR4-4800, DDR4-4866",Black / Orange,1,2,2242/2260/2280 M-key,4,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2,1,,No,Wi-Fi 5,Yes,No
ASRock B550M-HDV         (6),ASRock,"B550M-HDV, 90-MXBDJ0-A0UAYZ",AM4,Micro ATX,AMD B550,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3800, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4533, DDR4-4600",Black,1,1,2242/2260/2280 M-key,4,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2,1,,No,None,Yes,No
MSI MAG B550 TOMAHAWK         (132),MSI,"MAG B550 TOMAHAWK, 7C91-001R, B550TMHWK",AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400, DDR4-4533, DDR4-4600, DDR4-4800, DDR4-4866",Black / Silver,2,2,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",6,"1 x 1 Gb/s Ports (Realtek RTL8111H), 1 x 2.5 Gb/s Ports (Realtek RTL8125B)",Depends on CPU,2,1,1,No,None,Yes,No
MSI B650M GAMING PLUS WIFI         (9),MSI,"B650M GAMING PLUS WIFI, 7E24-001R",AM5,Micro ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",Silver / Black,1,2,"2260/2280 M-key, 2260/2280 M-key, 2230 E-key",4,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2,1,1,No,Wi-Fi 6E,Yes,No
