name,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME,Full Disk Write Throughput,Full Disk Write Throughput (Lowest 10 Seconds),Random Read Throughput QD1,Random Read Throughput QD32,Random Write Throughput QD1,Random Write Throughput QD32,Sequential Read Throughput QD1,Sequential Read Throughput QD4,Sequential Write Throughput QD1,Sequential Write Throughput QD4
Samsung 990 Pro         (189),Samsung,"MZ-V9P2T0BW, MZ-V9P2T0B/AM",2 TB,$0.085,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Crucial P3 Plus         (94),Crucial,CT1000P3PSSD8,1 TB,$0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Crucial P3 Plus         (87),Crucial,CT2000P3PSSD8,2 TB,$0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 990 Pro         (62),Samsung,"MZ-V9P4T0BW, MZ-V9P4T0B/AM",4 TB,$0.077,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Kingston NV3         (17),Kingston,SNV3S/1000G,1 TB,$0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 990 Pro         (55),Samsung,"MZ-V9P1T0BW, MZ-V9P1T0B/AM",1 TB,$0.100,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital WD_Black SN850X         (206),Western Digital,"WDS200T2X0E, WDBB9G0020BNC-WRSN, WDS200T2X0E-00BCA0",2 TB,$0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 990 EVO Plus         (12),Samsung,"MZ-V9S2T0BW, MZ-V9S2T0B/AM",2 TB,$0.070,SSD,,M.2-2280,M.2 PCIe 5.0 X2,Yes,,,,,,,,,,
Seagate Barracuda Compute         (745),Seagate,ST2000DM008,2 TB,$0.037,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Crucial P3 Plus         (25),Crucial,CT500P3PSSD8,500 GB,$0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital Black SN770         (121),Western Digital,"WDS100T3X0E, WDS100T3X0E-00B3N0",1 TB,$0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Intel SSDPEDMD020T401         (0),Intel,SSDPEDMD020T401,2 TB,$1.968,SSD,,PCIe,PCIe x4,Yes,,,,,,,,,,
Silicon Power UD90         (37),Silicon Power,SP02KGBP44UD9005,2 TB,$0.047,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 9100 PRO         (1),Samsung,"MZ-VAP4T0B/AM, MZ-VAP4T0B, MZ-VAP4T0BW",4 TB,$0.115,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
Western Digital Black SN770         (97),Western Digital,"WDS200T3X0E, WDS200T3X0E-00B3N0",2 TB,$0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital WD_Black SN850X         (66),Western Digital,"WDS400T2X0E, WDBB9G0040BNC-WRSN, WDS400T2X0E-00BCA0",4 TB,$0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital Blue SN580         (44),Western Digital,"WDS100T3B0E, WDS100T3B0E-00CHF0",1 TB,$0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 870 Evo         (71),Samsung,"MZ-77E1T0B/AM, MZ-77E1T0B/EU, MZ-77E1T0BW",1 TB,$0.100,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 990 EVO Plus         (10),Samsung,"MZ-V9S1T0BW, MZ-V9S1T0B/AM",1 TB,$0.070,SSD,,M.2-2280,M.2 PCIe 5.0 X2,Yes,,,,,,,,,,
Seagate IronWolf Pro         (0),Seagate,ST24000NT002,24 TB,$0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 990 EVO Plus         (16),Samsung,"MZ-V9S4T0BW, MZ-V9S4T0B/AM",4 TB,$0.061,SSD,,M.2-2280,M.2 PCIe 5.0 X2,Yes,,,,,,,,,,
Kingston NV2         (148),Kingston,SNV2S/1000G,1 TB,$0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital WD_Black SN850X         (107),Western Digital,"WDS100T2X0E, WDBB9G0010BNC-WRSN, WDS100T2X0E-00BCA0",1 TB,$0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Kingston NV3         (8),Kingston,SNV3S/2000G,2 TB,$0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Sabrent Rocket 4 Plus         (1),Sabrent,SB-RKT4P-8TB,8 TB,$0.134,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital WD_Black SN850X         (4),Western Digital,"WDS800T2X0E, WDS800T2X0E-00CDD0, WDBB9G0080BNC-WRSN",8 TB,$0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 970 Evo Plus         (491),Samsung,"MZ-V7S1T0B/AM, MZ-V7S1T0BW",1 TB,$0.112,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Crucial P3 Plus         (30),Crucial,CT4000P3PSSD8,4 TB,$0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Klevv CRAS C910         (5),Klevv,K01TBM2SP0-C91,1 TB,$0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
TEAMGROUP MP44L         (24),TEAMGROUP,TM8FPK001T0C101,1 TB,$0.060,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 980 Pro         (336),Samsung,"MZ-V8P2T0B/AM, MZ-V8P2T0BW",2 TB,$0.096,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 9100 PRO         (3),Samsung,"MZ-VAP2T0B/AM, MZ-VAP2T0B, MZ-VAP2T0BW",2 TB,$0.135,SSD,2048 MB,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
Seagate BarraCuda         (77),Seagate,ST4000DM004,4 TB,$0.021,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Patriot P300         (10),Patriot,P300P512GM28,512 GB,$0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Western Digital Blue SN580         (16),Western Digital,"WDS200T3B0E, WDS200T3B0E-00CHF0",2 TB,$0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Crucial P3         (58),Crucial,CT1000P3SSD8,1 TB,$0.067,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Western Digital Caviar Blue         (2383),Western Digital,WD10EZEX,1 TB,$0.043,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 870 Evo         (29),Samsung,"MZ-77E2T0B/AM, MZ-77E2T0B/EU, MZ-77E2T0BW",2 TB,$0.080,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 870 Evo         (18),Samsung,"MZ-77E4T0B/AM, MZ-77E4T0B/EU, MZ-77E4T0BW",4 TB,$0.062,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
TEAMGROUP MP44L         (39),TEAMGROUP,TM8FPK002T0C101,2 TB,$0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Silicon Power A60         (65),Silicon Power,SP001TBP34A60M28,1 TB,$0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Samsung 980 Pro         (339),Samsung,"MZ-V8P1T0B/AM, MZ-V8P1T0BW",1 TB,$0.160,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Seagate Barracuda Compute         (21),Seagate,ST8000DMZ04,8 TB,$0.015,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 990 EVO         (8),Samsung,"MZ-V9E1T0B/AM, MZ-V9E1T0B, MZ-V9E1T0BW",1 TB,$0.070,SSD,,M.2-2280,M.2 PCIe 5.0 X2,Yes,,,,,,,,,,
SK Hynix Platinum P41         (51),SK Hynix,SHPP41-2000GM-2,2 TB,$0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Crucial T705         (8),Crucial,CT2000T705SSD3,2 TB,$0.112,SSD,,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
Kingston Fury Renegade         (17),Kingston,SFYRD/2000G,2 TB,$0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 990 EVO         (12),Samsung,"MZ-V9E2T0B/AM, MZ-V9E2T0B, MZ-V9E2T0BW",2 TB,$0.065,SSD,,M.2-2280,M.2 PCIe 5.0 X2,Yes,,,,,,,,,,
Samsung 870 QVO         (5),Samsung,"MZ-77Q8T0B/AM, MZ-77Q8T0BW",8 TB,$0.079,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Kingston KC3000         (36),Kingston,SKC3000D/2048G,2.048 TB,$0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 9100 PRO         (3),Samsung,"MZ-VAP1T0B/AM, MZ-VAP1T0B, MZ-VAP1T0BW",1 TB,$0.170,SSD,1024 MB,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
Crucial T705         (0),Crucial,CT4000T705SSD3,4 TB,$0.097,SSD,,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
TEAMGROUP MP33         (61),TEAMGROUP,TM8FP6001T0C101,1 TB,$0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Samsung 870 Evo         (32),Samsung,"MZ-77E500B/AM, MZ-77E500B/EU, MZ-77E500BW",500 GB,$0.106,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Lexar NM790         (18),Lexar,"LNM790X002T-RNNNG, LNM790X002T-RNNNU",2 TB,$0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
KingSpec XF         (0),KingSpec,"XF-2280-1TB, XF-1TB-2280",1 TB,$0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Acer Predator GM7000         (28),Acer,BL.9BWWR.106,2 TB,$0.063,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Orico Y-20         (0),Orico,Y20-128GB,128 GB,$0.094,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Crucial T500         (16),Crucial,CT2000T500SSD8,2 TB,$0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 970 Evo Plus         (205),Samsung,"MZ-V7S2T0B/AM, MZ-V7S2T0BW",2 TB,$0.094,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Crucial P310         (1),Crucial,CT1000P310SSD8,1 TB,$0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Seagate BarraCuda         (254),Seagate,ST1000DM010,1 TB,$0.060,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Patriot P300         (16),Patriot,P300P256GM28,256 GB,$0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Western Digital Blue         (34),Western Digital,WD20EZBX,2 TB,$0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Kingston A400         (124),Kingston,SA400S37/240G,240 GB,$0.117,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 980         (95),Samsung,"MZ-V8V1T0B/AM, MZ-V8V1T0BW",1 TB,$0.100,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Crucial BX500         (31),Crucial,CT1000BX500SSD1,1 TB,$0.060,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
TEAMGROUP EX2         (0),TEAMGROUP,T253E2016T0C101,16 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Samsung 990 Pro w/Heatsink         (1),Samsung,MZ-V9P4T0CW,4 TB,$0.077,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
TEAMGROUP T-FORCE G50         (2),TEAMGROUP,TM8FFE001T0C129,1 TB,$0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
TEAMGROUP MP33         (46),TEAMGROUP,TM8FP6512G0C101,512 GB,$0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Silicon Power UD90         (14),Silicon Power,"SP01KGBP44UD9005, SU01KGBP44UD9005SN, SU01KGBP44UD9005BH",1 TB,$0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Corsair MP700 Elite         (1),Corsair,CSSD-F2000GBMP700ENH,2 TB,$0.092,SSD,,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
Patriot P400 Lite         (2),Patriot,P400LP1KGM28H,1 TB,$0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
TEAMGROUP T-FORCE G50         (1),TEAMGROUP,TM8FFE002T0C129,2 TB,$0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Klevv CRAS C910         (2),Klevv,K02TBM2SP0-C91,2 TB,$0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital Gold         (0),Western Digital,WD241KRYZ,24 TB,$0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Crucial P310         (0),Crucial,CT2000P310SSD8,2 TB,$0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 970 Evo Plus         (239),Samsung,"MZ-V7S500B/AM, MZ-V7S500BW",500 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Silicon Power A60         (8),Silicon Power,SP002TBP34A60M28,2 TB,$0.047,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Samsung 9100 PRO w/Heatsink         (0),Samsung,"MZ-VAP4T0C/AM, MZ-VAP4T0C, MZ-VAP4T0CW",4 TB,$0.121,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
Patriot P300         (4),Patriot,P300P1TBM28,1 TB,$0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Corsair MP400         (1),Corsair,CSSD-F8000GBMP400,8 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Seagate IronWolf NAS         (4),Seagate,ST8000VN004,8 TB,$0.022,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
Kingston Fury Renegade         (14),Kingston,SFYRS/1000G,1 TB,$0.090,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Lexar NM790         (7),Lexar,"LNM790X001T-RNNNG, LNM790X001T-RNNNU",1 TB,$0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 990 Pro w/Heatsink         (13),Samsung,"MZ-V9P2T0CW, MZ-V9P2T0GW",2 TB,$0.090,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital Black SN770         (26),Western Digital,"WDS500G3X0E, WDS500G3X0E-00B3N0",500 GB,$0.114,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 980         (35),Samsung,"MZ-V8V500B/AM, MZ-V8V500BW",500 GB,$0.134,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Acer Predator GM7000         (7),Acer,BL.9BWWR.105,1 TB,$0.078,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Kingston KC3000         (23),Kingston,SKC3000S/1024G,1.024 TB,$0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Western Digital WD_BLACK SN7100         (0),Western Digital,"WDS200T4X0E-00CJA0, WDS200T4X0E",2 TB,$0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Kingston NV3         (3),Kingston,SNV3S/500G,500 GB,$0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Samsung 970 Evo         (320),Samsung,"MZ-V7E1T0BW, MZ-V7E1T0B/AM",1 TB,$0.160,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Intel D3-S4610         (0),Intel,SSDSC2KG076T801,7.68 TB,$0.195,SSD,,"2.5""",SATA 6.0 Gb/s,No,,,,,,,,,,
TEAMGROUP MP44L         (4),TEAMGROUP,TM8FPK500G0C101,500 GB,$0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Lexar NM710         (10),Lexar,"LNM710X001T-RNNNG, LNM710X001T-RNNNU",1 TB,$0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4,Yes,,,,,,,,,,
Lexar NM620         (7),Lexar,"LNM620X001T-RNNNG, LNM620X001T-RNNNU",1 TB,$0.080,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
Sabrent Rocket 5         (0),Sabrent,SB-RKT5-4TB,4 TB,$0.164,SSD,,M.2-2280,M.2 PCIe 5.0 X4,Yes,,,,,,,,,,
TEAMGROUP MP33 PRO         (5),TEAMGROUP,TM8FPD001T0C101,1 TB,$0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,Yes,,,,,,,,,,
