name,Manufacturer,Part #,Protocol,Interface,Color
Gigabyte GC-WBAX210         (10),Gigabyte,GC-WBAX210,Wi-Fi 6E,PCIe x1,Black / Silver
Asus PCE-AX3000         (11),Asus,"PCE-AX3000, 90IG0610-MO0R10",Wi-Fi 6,PCIe x1,Black
TP-Link Archer TBE550E         (1),TP-Link,"Archer TBE550E, TBE550E",Wi-Fi 7,PCIe x1,Black
TP-Link Archer TX3000E         (32),TP-Link,Archer TX3000E,Wi-Fi 6,PCIe x1,Red / Black
TP-Link ARCHER T2U PLUS         (22),TP-Link,ARCHER T2U PLUS,Wi-Fi 5,USB Type-A 2.0,Black
TP-Link TL-WN881ND         (196),TP-Link,TL-WN881ND,Wi-Fi 4,PCIe x1,
TP-Link ArcherTX20E         (2),TP-Link,ArcherTX20E,Wi-Fi 6,PCIe x1,Black
Intel AX210         (1),Intel,AX210.NGWG.NV,Wi-Fi 6E,M.2 PCIe,Green
Netgear WNA3100M-100ENS         (1),Netgear,WNA3100M-100ENS,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer TX55E         (14),TP-Link,Archer TX55E,Wi-Fi 6,PCIe x1,
Intel 7260HMWDTX1         (0),Intel,7260HMWDTX1.R,Wi-Fi 5,PCIe x1,
MSI HERALD-BE WIFI 7 MAX         (0),MSI,HERALD-BE WIFI 7 MAX,Wi-Fi 7,PCIe x1,Black
TP-Link Archer TX50E         (42),TP-Link,Archer TX50E,Wi-Fi 6,PCIe x1,Black
Asus PCE-AC68         (68),Asus,"PCE-AC68, 90IG00R0-BM0G00",Wi-Fi 5,PCIe x1,
Asus PCE-BE92BT         (0),Asus,PCE-BE92BT,Wi-Fi 7,PCIe x1,Black
TP-Link Archer T3U Plus         (7),TP-Link,Archer T3U Plus,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link TL-WN725N         (59),TP-Link,TL-WN725N,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T4E         (38),TP-Link,"AA528899, Archer T4E",Wi-Fi 5,PCIe x1,
Intel Killer AX1675         (0),Intel,AX210.D2WG.NVXC,Wi-Fi 6E,PCIe x1,
Asus PCE-AX1800         (0),Asus,"PCE-AX1800, 90IG07A0-MO0B00",Wi-Fi 6,PCIe x1,Black
EDUP EP-9636GS-BL         (5),EDUP,EP-9636GS-BL,Wi-Fi 6,PCIe x1,Black
Ziyituod ZYT-AX210S         (0),Ziyituod,ZYT-AX210S,Wi-Fi 6E,PCIe x1,Red
EDUP EP-9651         (2),EDUP,"EP-EP9651, EP-9651",Wi-Fi 6E,PCIe x1,Blue / Black
TP-Link Archer TX20U plus         (2),TP-Link,Archer TX20U plus,Wi-Fi 6,USB Type-A 3.2 Gen 1,
TP-Link Archer T2UH         (3),TP-Link,ARCHER T2UH,Wi-Fi 5,USB Type-A 2.0,
TP-Link Archer TXE72E         (3),TP-Link,Archer TXE72E,Wi-Fi 6E,PCIe x1,
Asus PCE-AXE5400         (0),Asus,"PCE-AXE5400, 90IG07I0-ME0B10",Wi-Fi 6E,PCIe x1,Black
Asus PCE-AX58BT         (10),Asus,"PCE-AX58BT, 90IG0610-MO0R00",Wi-Fi 6,PCIe x1,Black
Intel AX200         (17),Intel,AX200.NGWG.DTK,Wi-Fi 6,M.2,
MSI HERALD-BE NCM865 WI-FI 7         (1),MSI,HERALD-BE NCM865 WI-FI 7,Wi-Fi 7,PCIe x1,Black
TP-Link ARCHER T2E         (10),TP-Link,ARCHER T2E,Wi-Fi 5,PCIe x1,
TP-Link TL-WDN4800         (251),TP-Link,TL-WDN4800,Wi-Fi 4,PCIe x1,
StarTech USB150WN1X1         (0),StarTech,USB150WN1X1,Wi-Fi 4,USB Type-A 2.0,
Netgear Nighthawk AXE3000         (1),Netgear,A8000100PAS,Wi-Fi 6E,USB Type-A 3.2 Gen 1,Black
TP-Link Archer TXE75E         (2),TP-Link,Archer TXE75E,Wi-Fi 6E,PCIe x1,
MSI AX905C         (1),MSI,AX905C,Wi-Fi 6,PCIe x1,Black
Asus PCE-AC88         (17),Asus,"PCE-AC88, 90IG02H0-BM0000",Wi-Fi 5,PCIe x1,
TP-Link Archer T2UB Nano         (2),TP-Link,Archer T2UB Nano,Wi-Fi 5,USB Type-A 2.0,Black
TP-Link TL-WN781ND         (45),TP-Link,TL-WN781ND,Wi-Fi 4,PCIe x1,
Asus PCE-AC56         (48),Asus,"PCE-AC56, 90IG00K0-BM0000",Wi-Fi 5,PCIe x1,
Gigabyte GC-WBAX200         (19),Gigabyte,GC-WBAX200,Wi-Fi 6,PCIe x1,Black / Silver
Intel AX210 w/vPro         (0),Intel,AX210.NGWG,Wi-Fi 6E,M.2 PCIe,Green
Ziyituod ZYT-AX200         (23),Ziyituod,ZYT-AX200,Wi-Fi 6,PCIe x1,Green
TP-Link Archer T6E AC1300         (51),TP-Link,Archer T6E,Wi-Fi 5,PCIe x1,
Belkin F9L1101         (1),Belkin,F9L1101,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AXE58BT         (1),Asus,PCE-AXE58BT,Wi-Fi 6E,PCIe x1,Black / Gold
Rosewill RNX-N250PCe         (75),Rosewill,RNX-N250PCe,Wi-Fi 4,PCIe x1,
Gigabyte GC-WB1733D-I         (5),Gigabyte,GC-WB1733D-I,Wi-Fi 5,PCIe x1,Black
TP-Link Archer T9UH         (1),TP-Link,Archer T9UH,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Intel AX200.NGWG.NV         (0),Intel,AX200.NGWG.NV,Wi-Fi 6,M.2,
Cudy WE3000         (0),Cudy,WE3000,Wi-Fi 6,PCIe x1,
TP-Link Archer T2U Nano         (6),TP-Link,Archer T2U Nano,Wi-Fi 4,USB Type-A 2.0,Black / Gold
TP-Link Archer T9E         (26),TP-Link,Archer T9E,Wi-Fi 5,PCIe x1,
TRENDnet TEW-648UBM         (1),TRENDnet,TEW-648UBM,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T5E         (20),TP-Link,Archer T5E,Wi-Fi 5,PCIe x1,Black
Asus USB-AX55 Nano         (0),Asus,USB-AX55 Nano,Wi-Fi 6,USB Type-A 2.0,Black
TP-Link Archer T3U         (16),TP-Link,Archer T3U,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Netgear Nighthawk AC1900 A7000-10000S         (3),Netgear,A7000-10000S,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link Archer T4U Plus         (1),TP-Link,Archer T4U Plus,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Ubit AX210         (2),Ubit,AX210,Wi-Fi 6E,PCIe x1,Black
EDUP EP-9651GS         (5),EDUP,EP-9651GS,Wi-Fi 6E,PCIe x1,Black
Gigabyte GC-WB867D-I         (181),Gigabyte,GC-WB867D-I,Wi-Fi 5,PCIe x1,
Asus PCE-AXE59BT         (0),Asus,PCE-AXE59BT,Wi-Fi 6E,PCIe x1,Black
MSI AX1800         (0),MSI,302-8ZE00XU-000,Wi-Fi 6,USB Type-A 3.2 Gen 1,Black
TP-Link TL-WN821N         (6),TP-Link,TL-WN821N,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AC55BT B1         (86),Asus,PCE-AC55BT B1,Wi-Fi 5,PCIe x1,
Asus USB-AX56         (0),Asus,"USB-AX56, 90IG06H0-MO0R00",Wi-Fi 6,USB Type-A 3.2 Gen 1,Black
TP-Link TL-WN822N         (21),TP-Link,TL-WN822N,Wi-Fi 4,USB Type-A 2.0,
fenvi FV-AXE3000         (0),fenvi,FV-AXE3000,Wi-Fi 6,PCIe x1,Red / Black
Asus PCE-N15         (85),Asus,"PCE-N15, 90-IG1U003M00-0PA0-",Wi-Fi 4,PCIe x1,
StarTech PEX867WAC22         (0),StarTech,PEX867WAC22,Wi-Fi 5,PCIe x1,
NEC NP05LM1         (0),NEC,NP05LM1,Wi-Fi 4,USB Type-A 2.0,White
fenvi FV-8802         (1),fenvi,FV-8802,Wi-Fi 5,PCIe x1,Black / Orange
BrosTrend AC5         (10),BrosTrend,AC5,Wi-Fi 5,USB Type-A 2.0,Black
TP-Link Archer T3U Nano         (0),TP-Link,Archer T3U Nano,Wi-Fi 5,USB Type-A 2.0,Black
Asus USB-AC53 NANO         (2),Asus,"USB-AC53 NANO, 90IG03P0-BM0R10",Wi-Fi 5,USB Type-A 2.0,
Asus PCE-AC51         (28),Asus,"PCE-AC51, 90IG02S0-BO0010",Wi-Fi 5,PCIe x1,
Ubit G10H-AX210S         (4),Ubit,G10H-AX210S,Wi-Fi 6E,PCIe x1,
fenvi FV-T919         (3),fenvi,"FV-T919, 15283",Wi-Fi 5,PCIe x1,Black / Gold
TP-Link TL-WN722N         (21),TP-Link,TL-WN722N,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7811UTC         (5),Edimax,EW-7811UTC,Wi-Fi 5,USB Type-A 2.0,
fenvi FV-HB1200         (0),fenvi,"FV-HB1200, 16564",Wi-Fi 5,PCIe x1,Black / Blue
TP-Link Archer TX21UH         (2),TP-Link,Archer TX21UH,Wi-Fi 6,USB Type-A 3.2 Gen 1,Silver / Black
Netgear A6100-10000S         (0),Netgear,A6100-10000S,Wi-Fi 5,USB Type-A 2.0,Black
Asus PCE-AC58BT         (8),Asus,"PCE-AC58BT, 90IG04S0-MM0R10",Wi-Fi 5,PCIe x1,Blue
fenvi FV-AX3000         (2),fenvi,FV-AX3000,Wi-Fi 6,PCIe x1,Red / Black
TP-Link Archer T2U         (7),TP-Link,"Archer T2U, TL-ARCHERT2U, ARCHER T2U V3",Wi-Fi 5,USB Type-A 2.0,
BrosTrend AC3         (1),BrosTrend,AC3,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
D-Link DWA-140         (0),D-Link,DWA-140,Wi-Fi 4,USB Type-A 2.0,
Intel 62205ANHMWDTX1         (4),Intel,62205ANHMWDTX1,Wi-Fi 4,PCIe x1,
D-Link DWA-582         (7),D-Link,DWA-582,Wi-Fi 5,PCIe x1,
TP-Link TL-WN823N         (15),TP-Link,TL-WN823N,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AC55BT         (17),Asus,PCE-AC55BT,Wi-Fi 5,PCIe x1,
D-Link DWA-131         (2),D-Link,"DWA-131, DWA-131/500BW",Wi-Fi 4,USB Type-A 2.0,
Intel 7260         (1),Intel,7260.HMWWB.R,Wi-Fi 5,Mini-PCIe,
TP-Link TL-WN350GD         (0),TP-Link,TL-WN350GD,Wi-Fi 3,PCI,
Intel 7260HMWDTX1         (22),Intel,7260HMWDTX1,Wi-Fi 5,PCIe x1,
Rosewill RNX-AC1200PCEv2         (1),Rosewill,RNX-AC1200PCEv2,Wi-Fi 5,PCIe x1,Green
D-Link DWA-X3000         (0),D-Link,DWA-X3000,Wi-Fi 6,PCIe x1,Black
D-Link DWA-X1850         (0),D-Link,DWA-X1850,Wi-Fi 6,USB Type-A 3.2 Gen 1,
